"election_id","state","date","type"
"FL_1978-11-07_GEN","FL",1978-11-07,"GEN"
"FL_1978-09-12_PRI-D","FL",1978-09-12,"PRI-D"
"FL_1978-09-12_PRI","FL",1978-09-12,"PRI"
"FL_1978-10-05_PRI-D","FL",1978-10-05,"PRI-D"
"FL_1980-11-04_GEN","FL",1980-11-04,"GEN"
"FL_1980-09-09_PRI-D","FL",1980-09-09,"PRI-D"
"FL_1980-09-09_PRI","FL",1980-09-09,"PRI"
"FL_1980-10-07_PRI-D","FL",1980-10-07,"PRI-D"
"FL_1980-10-07_PRI","FL",1980-10-07,"PRI"
"FL_1982-11-02_GEN","FL",1982-11-02,"GEN"
"FL_1982-09-07_PRI-D","FL",1982-09-07,"PRI-D"
"FL_1982-09-07_PRI","FL",1982-09-07,"PRI"
"FL_1982-10-05_PRI","FL",1982-10-05,"PRI"
"FL_1984-11-06_GEN","FL",1984-11-06,"GEN"
"FL_1984-09-04_PRI-D","FL",1984-09-04,"PRI-D"
"FL_1984-09-04_PRI","FL",1984-09-04,"PRI"
"FL_1986-11-04_GEN","FL",1986-11-04,"GEN"
"FL_1986-09-02_PRI-D","FL",1986-09-02,"PRI-D"
"FL_1986-09-02_PRI-R","FL",1986-09-02,"PRI-R"
"FL_1986-09-02_PRI","FL",1986-09-02,"PRI"
"FL_1986-09-30_PRI-D","FL",1986-09-30,"PRI-D"
"FL_1988-11-08_GEN","FL",1988-11-08,"GEN"
"FL_1988-09-06_PRI-R","FL",1988-09-06,"PRI-R"
"FL_1988-09-06_PRI-D","FL",1988-09-06,"PRI-D"
"FL_1988-09-06_PRI","FL",1988-09-06,"PRI"
"FL_1990-11-06_GEN","FL",1990-11-06,"GEN"
"FL_1990-09-04_PRI-D","FL",1990-09-04,"PRI-D"
"FL_1990-09-04_PRI","FL",1990-09-04,"PRI"
"FL_1990-10-02_PRI","FL",1990-10-02,"PRI"
"FL_1992-11-03_GEN","FL",1992-11-03,"GEN"
"FL_1992-09-01_PRI-D","FL",1992-09-01,"PRI-D"
"FL_1992-09-01_PRI-R","FL",1992-09-01,"PRI-R"
"FL_1992-09-01_PRI","FL",1992-09-01,"PRI"
"FL_1992-10-01_PRI-R","FL",1992-10-01,"PRI-R"
"FL_1994-11-08_GEN","FL",1994-11-08,"GEN"
"FL_1994-09-08_PRI-D","FL",1994-09-08,"PRI-D"
"FL_1994-09-08_PRI","FL",1994-09-08,"PRI"
"FL_1996-11-05_GEN","FL",1996-11-05,"GEN"
"FL_1996-09-03_PRI-D","FL",1996-09-03,"PRI-D"
"FL_1996-09-03_PRI-R","FL",1996-09-03,"PRI-R"
"FL_1996-09-03_PRI","FL",1996-09-03,"PRI"
"FL_1996-10-01_PRI","FL",1996-10-01,"PRI"
"FL_1998-11-03_GEN","FL",1998-11-03,"GEN"
"FL_1998-09-01_PRI-D","FL",1998-09-01,"PRI-D"
"FL_1998-09-01_PRI-R","FL",1998-09-01,"PRI-R"
"FL_1998-09-01_PRI","FL",1998-09-01,"PRI"
"FL_2000-11-07_GEN","FL",2000-11-07,"GEN"
"FL_2000-09-05_PRI-R","FL",2000-09-05,"PRI-R"
"FL_2000-09-05_PRI-D","FL",2000-09-05,"PRI-D"
"FL_2000-09-05_PRI","FL",2000-09-05,"PRI"
"FL_2002-11-05_GEN","FL",2002-11-05,"GEN"
"FL_2002-09-10_PRI-R","FL",2002-09-10,"PRI-R"
"FL_2002-09-10_PRI-D","FL",2002-09-10,"PRI-D"
"FL_2002-09-10_PRI","FL",2002-09-10,"PRI"
"FL_2004-11-02_GEN","FL",2004-11-02,"GEN"
"FL_2004-08-31_PRI-R","FL",2004-08-31,"PRI-R"
"FL_2004-08-31_PRI-D","FL",2004-08-31,"PRI-D"
"FL_2004-08-31_PRI","FL",2004-08-31,"PRI"
"FL_2006-11-07_GEN","FL",2006-11-07,"GEN"
"FL_2006-09-05_PRI-D","FL",2006-09-05,"PRI-D"
"FL_2006-09-05_PRI","FL",2006-09-05,"PRI"
"FL_2008-11-04_GEN","FL",2008-11-04,"GEN"
"FL_2008-08-26_PRI-R","FL",2008-08-26,"PRI-R"
"FL_2008-08-26_PRI-D","FL",2008-08-26,"PRI-D"
"FL_2008-08-26_PRI","FL",2008-08-26,"PRI"
"FL_2010-11-02_GEN","FL",2010-11-02,"GEN"
"FL_2010-08-24_PRI-R","FL",2010-08-24,"PRI-R"
"FL_2010-08-24_PRI-D","FL",2010-08-24,"PRI-D"
"FL_2010-08-24_PRI","FL",2010-08-24,"PRI"
"FL_2012-11-06_GEN","FL",2012-11-06,"GEN"
"FL_2012-08-14_PRI-R","FL",2012-08-14,"PRI-R"
"FL_2012-08-14_PRI-D","FL",2012-08-14,"PRI-D"
"FL_2012-08-14_PRI","FL",2012-08-14,"PRI"
"FL_2014-11-04_GEN","FL",2014-11-04,"GEN"
"FL_2014-08-26_PRI-D","FL",2014-08-26,"PRI-D"
"FL_2014-08-26_PRI","FL",2014-08-26,"PRI"
"FL_2016-11-08_GEN","FL",2016-11-08,"GEN"
"FL_2016-08-30_PRI-R","FL",2016-08-30,"PRI-R"
"FL_2016-08-30_PRI-D","FL",2016-08-30,"PRI-D"
"FL_2016-08-30_PRI","FL",2016-08-30,"PRI"
"FL_2018-11-06_GEN","FL",2018-11-06,"GEN"
"FL_2018-08-28_PRI-R","FL",2018-08-28,"PRI-R"
"FL_2018-08-28_PRI-D","FL",2018-08-28,"PRI-D"
"FL_2018-08-28_PRI","FL",2018-08-28,"PRI"
"FL_2020-11-03_GEN","FL",2020-11-03,"GEN"
"FL_2020-08-18_PRI-R","FL",2020-08-18,"PRI-R"
"FL_2020-08-18_PRI-D","FL",2020-08-18,"PRI-D"
"FL_2020-08-18_PRI","FL",2020-08-18,"PRI"
"FL_2022-11-08_GEN","FL",2022-11-08,"GEN"
"FL_2022-08-23_PRI-D","FL",2022-08-23,"PRI-D"
"FL_2022-08-23_PRI","FL",2022-08-23,"PRI"
